,AUD Australian dollar,BGN Bulgarian lev,BRL Brazilian real,CAD Canadian dollar,CHF Swiss franc,CNY Chinese/Yuan renminbi,CYP,CZK Czech koruna,DKK Danish krone,EEK Estonian kroon,EUR European Euro,GBP British pound,HKD Hong Kong dollar,HRK Croatian kuna,HUF Hungarian forint,IDR Indonesian rupiah,ILS Israeli new sheqel,INR Indian rupee,ISK Icelandic króna,JPY Japanese yen,KRW South Korean won,LTL Lithuanian litas,LVL Latvian lats,MTL,MXN Mexican peso,MYR Malaysian ringgit,NOK Norwegian krone,NZD New Zealand dollar,PHP Philippine peso,PLN Polish zloty,ROL,RON Romanian leu,RUB Russian ruble,SEK Swedish krona,SGD Singapore dollar,SIT,SKK,THB Thai baht,TRL,TRY Turkish new lira,USD United States dollar,ZAR South African rand
2008-07-15 00:00:00,1.0181363352,1.2231394622,1.5986241401,0.99931207,1.0046904315,6.8210756723,,14.6185115697,4.6652282677,9.7852407755,0.6253908693,0.4975297061,7.7987492183,4.5185115697,145.5659787367,9140.0,,,77.69230769229999,104.7404627892,1009.7498436523,2.1593495935,0.4393996248,,10.3275171982,3.2195121951,5.0262664165,1.2943089431,45.435272045,2.038148843,,2.256097561,23.0925578487,5.9369606004,1.3457160725,,18.9524702939,33.4809255785,,1.2207629769,1.0,7.6610381488
2008-07-16 00:00:00,1.0240433031,1.2309919436,1.5930261833,1.0020140987,1.0095669688,6.8113041289,,14.6103977845,4.6945493454000005,9.84806143,0.6294058409000001,0.4997167674,7.798716012100001,4.5480236657,146.2550352467,9140.9994964753,,,78.0966767372,104.26737160120001,1009.2522658610001,2.1732124874000003,0.4424093656000001,,10.2924848943,3.2275302115,5.0767875126,1.296009567,45.46513091640001,2.0277567976,,2.2617698892,23.1906470292,5.9896148036,1.3491314199000002,,19.072255790499998,33.457326284000004,,1.2149420947,1.0,7.6312311178
2008-07-17 00:00:00,1.025048899,1.2340210739,1.589374724,1.0006940501,1.0186762572,6.8213136475,,14.6015521484,4.7061644268,9.872294782,0.6309546344,0.4993374976,7.797400466900001,4.559972238,145.20159000569998,9148.0030285822,,,77.04587040189999,105.6407344312,1011.5023029844,2.1785601615,0.4433718216,,10.221528172100001,3.2325067828,5.0880181715,1.3036153701,44.5649567796,2.0338822639,,2.2474604076,23.2380591835,5.9800618336,1.351126254,,19.1292826046,33.4311313017,,1.2056912108,1.0,7.5566281784
2008-07-18 00:00:00,1.0298431968,1.2365958523,1.5919954476,1.0053743045,1.0247218007,6.816894284299999,,14.5820687911,4.7166793121,9.8928932726,0.6322711179,0.5014858371,7.798115832100001,4.5669575114,144.2589782499,9148.0020232676,,,79.1350531108,106.8727870511,1013.9984825493,2.1831057157,0.4444865959000001,,10.2092185129,3.2444992413,5.0954729388,1.3100025291,44.2747850278,2.0351542742,,2.2463328275,23.2396939808,5.9747091552999985,1.3550834598,,19.1799443601,33.3276428933,,1.188353566,1.0,7.5347749115
2008-07-19 00:00:00,1.0298431968,1.2365958523,1.5919954476,1.0053743045,1.0247218007,6.816894284299999,,14.5820687911,4.7166793121,9.8928932726,0.6322711179,0.5014858371,7.798115832100001,4.5669575114,144.2589782499,9148.0020232676,,,79.1350531108,106.8727870511,1013.9984825493,2.1831057157,0.4444865959000001,,10.2092185129,3.2444992413,5.0954729388,1.3100025291,44.2747850278,2.0351542742,,2.2463328275,23.2396939808,5.9747091552999985,1.3550834598,,19.1799443601,33.3276428933,,1.188353566,1.0,7.5347749115
2008-07-20 00:00:00,1.0298431968,1.2365958523,1.5919954476,1.0053743045,1.0247218007,6.816894284299999,,14.5820687911,4.7166793121,9.8928932726,0.6322711179,0.5014858371,7.798115832100001,4.5669575114,144.2589782499,9148.0020232676,,,79.1350531108,106.8727870511,1013.9984825493,2.1831057157,0.4444865959000001,,10.2092185129,3.2444992413,5.0954729388,1.3100025291,44.2747850278,2.0351542742,,2.2463328275,23.2396939808,5.9747091552999985,1.3550834598,,19.1799443601,33.3276428933,,1.188353566,1.0,7.5347749115
2008-07-21 00:00:00,1.0253499811,1.2333207214,1.5841846387,1.0039727582,1.0228275949,6.8299911716,,14.483541430199999,4.705133055899999,9.8666918905,0.6305965443,0.5010720141,7.798272165499999,4.5515197377,144.63362340770001,9151.9989910455,,,78.36423256399999,106.9807037457,1011.2498423508999,2.1773237483,0.44343549,,10.1664774877,3.2379871358,5.0816622525,1.3135326018,44.2300416194,2.0312775886,,2.2373565393,23.237167360300003,5.9615966705,1.3520620507,,19.1259931896,33.335225123,,1.1922688864,1.0,7.5932652289
2008-07-22 00:00:00,1.0229285759,1.228594761,1.5810038319,1.0015076323999998,1.0160185941,6.82172247,,14.4563100697,4.686852189200001,9.8288837239,0.6281801621,0.4984923676,7.7969093536,4.5338903197,143.89722972549998,9147.9992461838,,,79.5715811295,106.325774232,1016.9985551856,2.1689804636,0.441861926,,10.1349959168,3.2370123751,5.0603052956,1.3113889063,44.450028268100006,2.0295244676,,2.2385200075,23.1845593316,5.9528236698,1.3531000691,,19.073434260899997,33.350084804299996,,1.1969344808,1.0,7.5609020667
2008-07-23 00:00:00,1.0374182072,1.2424877708,1.5805857315,1.0081316308,1.0346864875,6.8296804523,,15.0898926371,4.7403595705,9.940029223,0.6352836542,0.5000952925,7.8013468013,4.5857950575,147.4493361286,9141.998602376,,,79.15634330729999,107.8394002922,1011.7527476017999,2.1935074011,0.4465408805,,10.0482815577,3.2395019376,5.1394447621,1.3319357093000002,43.8549012134,2.0649895178,,2.2703767232,23.322851153000002,6.0161362048,1.3640175338,,19.2827647545,33.4127437901,,1.197319103,1.0,7.5091798488
2008-07-24 00:00:00,1.0409517127,1.2475601199,1.5767047266999998,1.0098870957,1.0380174778,6.8289213497,,15.041143075799999,4.7596478918,9.9806085348,0.6378771449,0.5032850673,7.7993876379,4.6059832876,148.17886075139998,9132.0022963577,,,80.6085347962,107.75020731010001,1006.4999681061,2.2024622058000003,0.4487465714,,10.0225170632,3.2529820757,5.166804873399999,1.3487912228,44.0549850099,2.0540919819,,2.2799642789,23.387446577800002,6.0384639918,1.3618039166,,19.3685016266,33.4598456337,,1.2045034126,1.0,7.5656056643
